year,warming_baseline,warming_pulse
2021,0.302284516,0.303257486
2022,0.33639039,0.337610124
2023,0.372418637,0.373796614
2024,0.408188069,0.409665678
2025,0.439648525,0.441186784
2026,0.467470627,0.469043529
2027,0.492583854,0.494174043
2028,0.517694216,0.519290147
2029,0.541975061,0.543569112
2030,0.566717206,0.568304411
2031,0.59224179,0.593818962
2032,0.61996651,0.621531675
2033,0.652148244,0.653700258
2034,0.690043743,0.691582022
2035,0.727904537,0.729428877
2036,0.767585514,0.769095958
2037,0.804009451,0.805506207
2038,0.840433794,0.841917166
2039,0.873665585,0.875135943
2040,0.904700235,0.906157978
2041,0.934378389,0.935823921
2042,0.965077,0.96651072
2043,0.997763471,0.999185769
2044,1.033368888,1.034780142
2045,1.074478454,1.075879025
2046,1.118377621,1.119767854
2047,1.164883614,1.166263833
2048,1.210248246,1.211618756
2049,1.251383184,1.252744275
2050,1.287866507,1.289218454
2051,1.322870331,1.324213396
2052,1.356961692,1.358296129
2053,1.390974333,1.392300385
2054,1.427057942,1.428375838
2055,1.466978164,1.468288122
2056,1.510573089,1.511875313
2057,1.553656343,1.554951023
2058,1.596910555,1.598197871
2059,1.640145764,1.641425884
2060,1.680183957,1.681457042
2061,1.718089776,1.719355997
2062,1.754765374,1.756024905
2063,1.791781622,1.793034639
2064,1.829480137,1.83072681
2065,1.868795876,1.870036368
2066,1.912281272,1.913515738
2067,1.958557031,1.959785618
2068,2.005499236,2.006722078
2069,2.050240965,2.051458188
2070,2.091985994,2.093197715
2071,2.130430964,2.131637311
2072,2.167890576,2.169091679
2073,2.204975859,2.206171846
2074,2.241263805,2.242454803
2075,2.277860165,2.279046296
2076,2.31466997,2.31585135
2077,2.353153173,2.354329911
2078,2.394472937,2.395645134
2079,2.438148323,2.439316071
2080,2.482856278,2.484019661
2081,2.526962744,2.528121844
2082,2.570344687,2.57149958
2083,2.611361752,2.612512513
2084,2.651560045,2.652706744
2085,2.689173268,2.690315973
2086,2.726099242,2.727238015
2087,2.763961701,2.765096603
2088,2.802890609,2.804021695
2089,2.844651166,2.845778487
2090,2.890049392,2.89117299
2091,2.936942747,2.938062663
2092,2.985777191,2.986893462
2093,3.031000955,3.032113614
2094,3.071911751,3.073020828
2095,3.110080836,3.111186359
2096,3.145667362,3.14676936
2097,3.181101592,3.182200093
2098,3.216415134,3.217510165
2099,3.25375161,3.254843197
2100,3.294222143,3.295310307
